qwen2.5:0.5b,0,0,0,0.44,0,5.74
qwen2.5:0.5b,0,0,1,0.44,0,0.96
qwen2.5:0.5b,0,0,2,0.44,0,1.09
qwen2.5:0.5b,0,0,3,0.44,0,4.22
qwen2.5:0.5b,0,0,4,0.44,0,11.37
qwen2.5:0.5b,0,0,5,0.44,0,0.44
qwen2.5:0.5b,0,0,6,0.44,0,10.42
qwen2.5:0.5b,0,0,0,0.44,2,2.47
qwen2.5:0.5b,0,0,1,0.44,2,10.14
qwen2.5:0.5b,0,0,2,0.44,2,11.14
qwen2.5:0.5b,0,0,3,0.44,2,3.76
qwen2.5:0.5b,0,0,4,0.44,2,5.98
qwen2.5:0.5b,0,0,5,0.44,2,0.84
qwen2.5:0.5b,0,0,6,0.44,2,0.07
qwen2.5:0.5b,0,0,0,0.44,4,5.27
qwen2.5:0.5b,0,0,1,0.44,4,5.64
qwen2.5:0.5b,0,0,2,0.44,4,3.11
qwen2.5:0.5b,0,0,3,0.44,4,6.41
qwen2.5:0.5b,0,0,4,0.44,4,11.45
qwen2.5:0.5b,0,0,5,0.44,4,0.38
qwen2.5:0.5b,0,0,6,0.44,4,5.07
qwen2.5:0.5b,0,0,0,0.44,6,3.48
qwen2.5:0.5b,0,0,1,0.44,6,7.94
qwen2.5:0.5b,0,0,2,0.44,6,1.43
qwen2.5:0.5b,0,0,3,0.44,6,7.59
qwen2.5:0.5b,0,0,4,0.44,6,11.16
qwen2.5:0.5b,0,0,5,0.44,6,7.65
qwen2.5:0.5b,0,0,6,0.44,6,2.68
qwen2.5:0.5b,0,0,0,0.44,8,5.14
qwen2.5:0.5b,0,0,1,0.44,8,1.09
qwen2.5:0.5b,0,0,2,0.44,8,5.43
qwen2.5:0.5b,0,0,3,0.44,8,7.01
qwen2.5:0.5b,0,0,4,0.44,8,8.44
qwen2.5:0.5b,0,0,5,0.44,8,8.55
qwen2.5:0.5b,0,0,6,0.44,8,0.58
qwen2.5:0.5b,0,0,0,0.44,10,0.07
qwen2.5:0.5b,0,0,1,0.44,10,6.40
qwen2.5:0.5b,0,0,2,0.44,10,2.53
qwen2.5:0.5b,0,0,3,0.44,10,5.04
qwen2.5:0.5b,0,0,4,0.44,10,3.45
